ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
218737_at	0.791	0.0119876	-2.69678536	-3.28	-0.2210	SBNO1	strawberry notch homolog 1
221253_s_at	0.791	0.0120382	-2.69499174	-3.28	-0.7900	BLOC1S5-TXNDC5///TXNDC5	BLOC1S5-TXNDC5 readthrough (NMD candidate)///thioredoxin domain containing 5
244033_at	0.791	0.0120447	-2.69475982	-3.28	-1.1500	CEP128	centrosomal protein 128
219463_at	0.791	0.0120512	-2.69453174	-3.28	-0.9460	LAMP5	lysosomal associated membrane protein family member 5
224621_at	0.791	0.0121377	2.69148287	-3.29	0.2930	MAPK1	mitogen-activated protein kinase 1
228729_at	0.791	0.0121573	-2.69079297	-3.29	-0.2460	CCNB1	cyclin B1
202068_s_at	0.791	0.0121597	-2.69070835	-3.29	-0.7910	LDLR	low density lipoprotein receptor
220452_x_at	0.791	0.0121981	2.68936366	-3.29	0.2760		
239085_at	0.791	0.0122055	-2.68910469	-3.29	-0.1780	JDP2	Jun dimerization protein 2
226336_at	0.791	0.0122155	2.68875608	-3.29	0.2540	LOC101060363///PPIA	peptidyl-prolyl cis-trans isomerase A pseudogene///peptidylprolyl isomerase A
221868_at	0.791	0.0122299	2.68825511	-3.29	0.3650	PAIP2B	poly(A) binding protein interacting protein 2B
1552752_a_at	0.791	0.0122491	-2.68758336	-3.29	-0.1190	CADM2	cell adhesion molecule 2
208949_s_at	0.791	0.0122707	-2.68683315	-3.29	-0.9730	LGALS3	lectin, galactoside binding soluble 3
202746_at	0.791	0.0122749	-2.68668661	-3.29	-0.8880	ITM2A	integral membrane protein 2A
1553271_at	0.791	0.0122803	-2.68649969	-3.29	-0.2930	DIP2B	disco interacting protein 2 homolog B
238519_at	0.791	0.0122834	2.68638988	-3.29	0.2140	DDI2///RSC1A1	DNA damage inducible 1 homolog 2///regulatory solute carrier protein, family 1, member 1
226245_at	0.791	0.0123468	-2.68419359	-3.29	-0.2140	KCTD1	potassium channel tetramerization domain containing 1
222154_s_at	0.791	0.0123755	-2.68320095	-3.29	-0.9110	SPATS2L	spermatogenesis associated serine rich 2 like
204049_s_at	0.791	0.0123817	2.68298911	-3.29	0.4170	PHACTR2	phosphatase and actin regulator 2
229726_at	0.791	0.012382	2.68297644	-3.29	0.2520	GRAP	GRB2-related adaptor protein
226065_at	0.791	0.0123849	2.6828775	-3.29	0.6750	PRICKLE1	prickle planar cell polarity protein 1
214777_at	0.791	0.0123852	-2.68286843	-3.29	-0.7350	IGKC	immunoglobulin kappa constant
242705_x_at	0.791	0.0123948	-2.68253627	-3.29	-0.4210	LRPAP1	LDL receptor related protein associated protein 1
200599_s_at	0.791	0.0124061	-2.68214641	-3.3	-0.7470	MIR3652///HSP90B1	microRNA 3652///heat shock protein 90 beta family member 1
209085_x_at	0.791	0.0124079	-2.68208471	-3.3	-0.3230	RFC1	replication factor C subunit 1
228365_at	0.791	0.012427	-2.68142902	-3.3	-0.3390	CPNE8	copine 8
200968_s_at	0.791	0.0124512	-2.68059693	-3.3	-0.7670	PPIB	peptidylprolyl isomerase B
239015_at	0.791	0.0124635	2.68017531	-3.3	0.2720	THAP7-AS1	THAP7 antisense RNA 1
225050_at	0.791	0.0124975	2.67901059	-3.3	0.2750	ZNF512	zinc finger protein 512
227432_s_at	0.791	0.0125083	-2.67864272	-3.3	-0.7430		
1556942_at	0.791	0.0125504	-2.67720843	-3.3	-0.1430		
231887_s_at	0.791	0.0125941	2.67571992	-3.3	0.2620	PALD1	phosphatase domain containing, paladin 1
226430_at	0.791	0.012711	-2.67177214	-3.31	-0.6800	RELL1	RELT like 1
220853_at	0.791	0.0127318	-2.67107048	-3.31	-0.1910	GTDC1	glycosyltransferase like domain containing 1
209600_s_at	0.791	0.012738	-2.67086358	-3.31	-0.3560	ACOX1	acyl-CoA oxidase 1
219118_at	0.791	0.0127391	-2.67082697	-3.31	-1.2700	FKBP11	FK506 binding protein 11
212811_x_at	0.791	0.0127394	-2.67081651	-3.31	-1.0200	SLC1A4	solute carrier family 1 member 4
227362_at	0.791	0.0127403	2.6707875	-3.31	0.2030	SLC2A4RG	SLC2A4 regulator
226811_at	0.791	0.012742	-2.6707293	-3.31	-0.5900	FAM46C	family with sequence similarity 46 member C
1554482_a_at	0.791	0.0127514	-2.6704149	-3.31	-0.5230	SAR1B	secretion associated Ras related GTPase 1B
226454_at	0.791	0.0127699	2.66979265	-3.31	0.2530	03/09	membrane associated ring-CH-type finger 9
210422_x_at	0.791	0.0127747	-2.66963225	-3.31	-0.2410	SLC11A1	solute carrier family 11 member 1
214909_s_at	0.791	0.0127872	2.66921303	-3.31	0.2990	DDAH2	dimethylarginine dimethylaminohydrolase 2
204553_x_at	0.791	0.0127933	-2.66900809	-3.31	-0.4730	INPP4A	inositol polyphosphate-4-phosphatase type I A
238257_at	0.791	0.0128219	-2.6680529	-3.31	-0.2160		
214996_at	0.791	0.012847	2.6672176	-3.31	0.3400		
1555065_x_at	0.791	0.0129275	2.66454421	-3.31	0.2940	USP32///USP6	ubiquitin specific peptidase 32///ubiquitin specific peptidase 6
228964_at	0.791	0.0129432	-2.66402403	-3.31	-1.3300	PRDM1	PR/SET domain 1
34206_at	0.791	0.0129495	2.66381603	-3.31	0.2240	ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1
1560237_at	0.791	0.0129714	-2.66309129	-3.32	-0.1410		
235931_at	0.791	0.0129804	2.66279502	-3.32	0.8350	METTL21A	methyltransferase like 21A
233445_at	0.791	0.0129942	-2.66233993	-3.32	-0.5650		
228379_at	0.791	0.0130047	2.66199448	-3.32	0.2480	NUTF2P4///NUTF2	nuclear transport factor 2 pseudogene 4///nuclear transport factor 2
240076_at	0.791	0.0130197	-2.66149879	-3.32	-0.2990		
229360_at	0.791	0.0130674	2.65993323	-3.32	0.3520	ZNF280B	zinc finger protein 280B
202375_at	0.791	0.013077	-2.65961793	-3.32	-0.8460	SEC24D	SEC24 homolog D, COPII coat complex component
212063_at	0.791	0.0130989	2.65890113	-3.32	0.2180	CD44	CD44 molecule (Indian blood group)
225829_at	0.791	0.0131261	-2.65801296	-3.32	-0.1880	PDZD8	PDZ domain containing 8
225882_at	0.791	0.0131321	2.65781392	-3.32	0.2290	SLC35B4	solute carrier family 35 member B4
209980_s_at	0.791	0.013165	-2.65674141	-3.32	-0.5310	MIR6778///SHMT1	microRNA 6778///serine hydroxymethyltransferase 1
216440_at	0.791	0.013192	-2.65586552	-3.32	-0.1270		
218890_x_at	0.791	0.0132088	-2.65532025	-3.32	-0.2880	MRPL35	mitochondrial ribosomal protein L35
202108_at	0.791	0.013228	2.65469584	-3.32	0.2010	PEPD	peptidase D
227337_at	0.791	0.0132376	-2.65438528	-3.32	-0.5670	ANKRD37	ankyrin repeat domain 37
205356_at	0.791	0.0132461	2.65410797	-3.32	0.4120	USP13	ubiquitin specific peptidase 13 (isopeptidase T-3)
1559405_a_at	0.791	0.013253	2.65388647	-3.32	0.1740	TRPV6	transient receptor potential cation channel subfamily V member 6
205516_x_at	0.791	0.0132732	2.65323371	-3.33	0.2830	CIZ1	CDKN1A interacting zinc finger protein 1
222435_s_at	0.791	0.0132944	-2.65254837	-3.33	-0.6400	UBE2J1	ubiquitin conjugating enzyme E2 J1
208658_at	0.791	0.0132989	-2.65240149	-3.33	-0.8030	PDIA4	protein disulfide isomerase family A member 4
1562953_s_at	0.791	0.0132992	-2.65239419	-3.33	-0.1680	WDFY3-AS2	WDFY3 antisense RNA 2
219997_s_at	0.791	0.0133004	2.65235495	-3.33	0.2870	COPS7B	COP9 signalosome subunit 7B
200700_s_at	0.791	0.0133154	-2.6518721	-3.33	-0.8220	KDELR2	KDEL endoplasmic reticulum protein retention receptor 2
228759_at	0.791	0.013316	-2.65185172	-3.33	-0.3500	CREB3L2	cAMP responsive element binding protein 3 like 2
217138_x_at	0.791	0.0133202	-2.65171806	-3.33	-0.6610	IGLC1	immunoglobulin lambda constant 1
227263_at	0.791	0.0133226	2.65164059	-3.33	0.2790	C8orf58	chromosome 8 open reading frame 58
209138_x_at	0.791	0.013324	-2.65159563	-3.33	-0.3630	IGLC1	immunoglobulin lambda constant 1
234339_s_at	0.791	0.0133419	2.65101903	-3.33	0.3260	SNORD23///GLTSCR2	small nucleolar RNA, C/D box 23///glioma tumor suppressor candidate region gene 2
219176_at	0.791	0.0133479	-2.65082365	-3.33	-0.2840	C2orf47	chromosome 2 open reading frame 47
215781_s_at	0.791	0.0133899	2.64947653	-3.33	0.2620	TOP3B	topoisomerase (DNA) III beta
238732_at	0.791	0.0134022	-2.64908293	-3.33	-0.2080	COL24A1	collagen type XXIV alpha 1 chain
224711_at	0.791	0.0134115	2.64878598	-3.33	0.2150	YY1	YY1 transcription factor
211637_x_at	0.791	0.0134226	-2.64843108	-3.33	-0.7680	IGHV3-23///IGHV4-31///IGHM///IGHG4///IGHG3///IGHG1///IGHD///IGHA2///IGHA1///IGH	immunoglobulin heavy variable 3-23///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 4 (G4m marker)///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus
214140_at	0.791	0.0134634	-2.647127	-3.33	-0.2000	SLC25A16	solute carrier family 25 member 16
226982_at	0.791	0.0134757	-2.64673586	-3.33	-0.7780	ELL2	elongation factor for RNA polymerase II 2
235248_at	0.791	0.0134814	2.64655298	-3.33	0.2060	BTBD9	BTB domain containing 9
1556755_s_at	0.791	0.0134844	-2.6464589	-3.33	-0.2620	MIR3150B///MIR3150A///LOC286149	microRNA 3150b///microRNA 3150a///uncharacterized LOC286149
201433_s_at	0.791	0.0134967	2.64606776	-3.33	0.1440	PTDSS1	phosphatidylserine synthase 1
239715_at	0.791	0.0135245	2.64518227	-3.33	0.5430		
211370_s_at	0.791	0.0135492	2.64439958	-3.33	0.2260	MAP2K5	mitogen-activated protein kinase kinase 5
222690_s_at	0.791	0.0135688	-2.64377884	-3.34	-0.3740	TMEM39A	transmembrane protein 39A
201686_x_at	0.791	0.0135741	-2.64360987	-3.34	-0.2940	API5	apoptosis inhibitor 5
241658_at	0.791	0.0135781	-2.64348323	-3.34	-0.1830	ARIH1	ariadne RBR E3 ubiquitin protein ligase 1
225907_at	0.791	0.0135824	2.64334889	-3.34	0.3740	LOC728743	zinc finger protein pseudogene
206930_at	0.791	0.0135985	-2.64284033	-3.34	-0.1570	GLYAT	glycine-N-acyltransferase
1558097_at	0.791	0.0136148	2.64232358	-3.34	0.2600	PRR14L	proline rich 14 like
1557605_a_at	0.791	0.0136726	-2.6405042	-3.34	-0.2070	LOC401312	uncharacterized LOC401312
209142_s_at	0.791	0.013686	-2.64008224	-3.34	-0.5510	UBE2G1	ubiquitin conjugating enzyme E2 G1
217622_at	0.791	0.0136894	-2.63997424	-3.34	-0.2420	RHBDD3	rhomboid domain containing 3
59433_at	0.791	0.0137316	-2.63865144	-3.34	-0.2270	LOC102725263///LOC389906	uncharacterized LOC102725263///zinc finger protein 839 pseudogene
32088_at	0.791	0.0137848	-2.63699038	-3.34	-0.1210	BLZF1	basic leucine zipper nuclear factor 1
210188_at	0.791	0.0137925	-2.63674966	-3.34	-0.3310	GABPA	GA binding protein transcription factor alpha subunit
224690_at	0.791	0.0137937	2.63671184	-3.34	0.3390	FAM210B	family with sequence similarity 210 member B
234418_x_at	0.791	0.0137953	2.63666183	-3.34	0.1570	CD44	CD44 molecule (Indian blood group)
208613_s_at	0.791	0.0138143	-2.63607136	-3.34	-0.3340	FLNB	filamin B
223518_at	0.791	0.0138152	-2.63604313	-3.34	-0.3140	DFFA	DNA fragmentation factor subunit alpha
204352_at	0.791	0.0138197	2.63590117	-3.34	0.2500	TRAF5	TNF receptor associated factor 5
200656_s_at	0.791	0.0138199	-2.63589603	-3.34	-0.5570	P4HB	prolyl 4-hydroxylase subunit beta
233971_at	0.791	0.0138377	2.6353424	-3.34	0.1530	FAM166A	family with sequence similarity 166 member A
226553_at	0.791	0.0138727	-2.634256	-3.35	-0.2120	TMPRSS2	transmembrane protease, serine 2
216705_s_at	0.791	0.0139098	-2.63310753	-3.35	-0.7840	ADA	adenosine deaminase
202503_s_at	0.791	0.0139102	-2.63309487	-3.35	-1.5400	KIAA0101	KIAA0101
235449_at	0.791	0.0139192	2.63281495	-3.35	0.2130	LRSAM1	leucine rich repeat and sterile alpha motif containing 1
212956_at	0.791	0.0139292	2.632506	-3.35	0.4430	TBC1D9	TBC1 domain family member 9
236197_at	0.791	0.0139338	2.63236542	-3.35	0.2320		
1570266_x_at	0.791	0.0139483	-2.63191792	-3.35	-0.2320	ERVH-1	endogenous retrovirus group H member 1
226238_at	0.791	0.0139881	-2.63069008	-3.35	-0.3900	MCEE	methylmalonyl-CoA epimerase
222989_s_at	0.791	0.0140054	-2.63016063	-3.35	-0.2920	UBQLN1	ubiquilin 1
1556947_at	0.791	0.014019	2.62974026	-3.35	0.3060		
218203_at	0.791	0.0140361	-2.62921669	-3.35	-0.4220	ALG5	ALG5, dolichyl-phosphate beta-glucosyltransferase
213090_s_at	0.791	0.0140439	2.62897722	-3.35	0.3570	TAF4	TATA-box binding protein associated factor 4
221297_at	0.791	0.0141049	-2.62711043	-3.35	-1.1800	GPRC5D	G protein-coupled receptor class C group 5 member D
220833_at	0.791	0.0141157	-2.6267824	-3.35	-0.1230		
214677_x_at	0.791	0.0141302	-2.62634057	-3.35	-0.3060	IGLC1	immunoglobulin lambda constant 1
237522_at	0.791	0.0141478	-2.62580322	-3.35	-0.1360	FAS-AS1	FAS antisense RNA 1
223287_s_at	0.791	0.0142004	2.62420544	-3.36	0.4680	FOXP1	forkhead box P1
203465_at	0.791	0.0142261	-2.62342523	-3.36	-0.4150	MRPL19	mitochondrial ribosomal protein L19
1556110_at	0.791	0.0142359	-2.62312938	-3.36	-0.1580		
200782_at	0.791	0.0142792	-2.62181801	-3.36	-0.4330	ANXA5	annexin A5
1557582_at	0.791	0.0142863	-2.62160566	-3.36	-0.3140	BIN3	bridging integrator 3
212685_s_at	0.791	0.0143454	-2.61982646	-3.36	-0.4290	TBL2	transducin (beta)-like 2
200951_s_at	0.791	0.0143976	-2.61825961	-3.36	-0.9260	CCND2	cyclin D2
225187_at	0.791	0.0144209	2.61756154	-3.36	0.4160	CCAR2	cell cycle and apoptosis regulator 2
226584_s_at	0.791	0.0144907	2.61547788	-3.37	0.3650	FAM110A	family with sequence similarity 110 member A
225704_at	0.791	0.0145094	2.61492116	-3.37	0.3610	FBRSL1	fibrosin like 1
1554794_a_at	0.791	0.0146005	-2.61221923	-3.37	-0.1590	UBE3C	ubiquitin protein ligase E3C
212486_s_at	0.791	0.0146447	2.61091644	-3.37	0.4690	FYN	FYN proto-oncogene, Src family tyrosine kinase
210736_x_at	0.791	0.014645	-2.61090587	-3.37	-0.2290	DTNA	dystrobrevin alpha
201601_x_at	0.791	0.014656	-2.61058184	-3.37	-0.9840	IFITM2///IFITM1	interferon induced transmembrane protein 2///interferon induced transmembrane protein 1
203333_at	0.791	0.0146912	-2.60954692	-3.37	-0.4350	KIFAP3	kinesin associated protein 3
227420_at	0.791	0.0147026	2.60921052	-3.37	0.2520	TNFAIP8L1	TNF alpha induced protein 8 like 1
240380_at	0.791	0.0147118	-2.60893992	-3.37	-0.1690	LOC728040	hCG1813624
237494_at	0.791	0.0147221	-2.60863893	-3.37	-0.1760	LOC105370829	uncharacterized LOC105370829
213278_at	0.791	0.0147281	2.60846255	-3.37	0.2810	MTMR9	myotubularin related protein 9
217721_at	0.791	0.0147318	2.6083551	-3.37	0.3160	09/07	septin 7
204362_at	0.791	0.0147718	2.60718155	-3.37	0.2790	SKAP2	src kinase associated phosphoprotein 2
228468_at	0.791	0.0147878	-2.60671456	-3.37	-0.3750	MASTL	microtubule associated serine/threonine kinase like
225069_at	0.791	0.0147906	2.60663268	-3.37	0.2570	PCYT1A	phosphate cytidylyltransferase 1, choline, alpha
239979_at	0.791	0.0147963	-2.6064668	-3.37	-0.7710		
236180_at	0.791	0.0148177	2.60584343	-3.38	0.3090		
218817_at	0.791	0.0148745	-2.60418864	-3.38	-0.9410	SPCS3	signal peptidase complex subunit 3
213222_at	0.791	0.0148997	-2.6034584	-3.38	-0.1950	PLCB1	phospholipase C beta 1
238932_at	0.791	0.0149254	-2.60271153	-3.38	-0.1910	TSC22D2	TSC22 domain family member 2
216984_x_at	0.791	0.0149306	-2.60256252	-3.38	-0.8190	IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1	immunoglobulin lambda joining 3///immunoglobulin lambda variable 1-44///cytoskeleton associated protein 2///immunoglobulin lambda variable cluster///immunoglobulin lambda constant 1
232537_x_at	0.791	0.0149393	-2.60230931	-3.38	-0.1680	MARK3	microtubule affinity regulating kinase 3
204612_at	0.791	0.0149726	2.60134567	-3.38	0.3700	PKIA	protein kinase (cAMP-dependent, catalytic) inhibitor alpha
200918_s_at	0.791	0.0149799	-2.6011371	-3.38	-0.4600	SRPRA	SRP receptor alpha subunit
217235_x_at	0.791	0.0150068	-2.60035913	-3.38	-0.8030	IGLL5	immunoglobulin lambda like polypeptide 5
218681_s_at	0.791	0.0150117	-2.60021903	-3.38	-0.8750	SDF2L1	stromal cell derived factor 2 like 1
229997_at	0.791	0.0150208	-2.59995731	-3.38	-0.2950	VANGL1	VANGL planar cell polarity protein 1
222996_s_at	0.791	0.0150217	2.59993044	-3.38	0.4110	CXXC5	CXXC finger protein 5
214135_at	0.791	0.0150606	-2.59881192	-3.38	-0.1620	CLDN18	claudin 18
224688_at	0.791	0.0150738	2.59843196	-3.38	0.2790	TMEM248	transmembrane protein 248
202558_s_at	0.791	0.0150804	-2.5982433	-3.38	-0.9810	HSPA13	heat shock protein family A (Hsp70) member 13
242093_at	0.791	0.0150984	-2.59772703	-3.38	-0.1420	SYTL5	synaptotagmin like 5
244886_at	0.791	0.0151227	2.59703136	-3.38	0.2740	LOC389641	uncharacterized LOC389641
206417_at	0.791	0.0152229	-2.59417358	-3.39	-0.1680	CNGA1	cyclic nucleotide gated channel alpha 1
216708_x_at	0.791	0.0152336	-2.59386948	-3.39	-0.3910	IGLJ3	immunoglobulin lambda joining 3
227978_s_at	0.791	0.0152344	2.5938454	-3.39	0.3310	ZADH2	zinc binding alcohol dehydrogenase domain containing 2
224405_at	0.791	0.0152387	-2.5937223	-3.39	-0.5130	FCRL5	Fc receptor like 5
204211_x_at	0.791	0.0153042	-2.59186589	-3.39	-0.4370	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2
207668_x_at	0.791	0.0153165	-2.59151892	-3.39	-0.6770	PDIA6	protein disulfide isomerase family A member 6
222269_at	0.791	0.0153647	-2.59015601	-3.39	-0.3290	APOOL	apolipoprotein O like
201577_at	0.791	0.0153755	-2.58985415	-3.39	-0.5140	NME1	NME/NM23 nucleoside diphosphate kinase 1
201204_s_at	0.791	0.0153774	-2.5898002	-3.39	-0.8810	RRBP1	ribosome binding protein 1
1558176_at	0.791	0.0154026	-2.58908901	-3.39	-0.4780	CYAT1///IGLV1-44///IGLC1	immunoglobulin lambda light chain-like///immunoglobulin lambda variable 1-44///immunoglobulin lambda constant 1
225588_s_at	0.791	0.015433	2.58823632	-3.39	0.2680	TMEM129	transmembrane protein 129
236372_at	0.791	0.0154512	-2.58772343	-3.39	-0.1450	PANX1	pannexin 1
230983_at	0.791	0.0154823	2.58685255	-3.4	0.3460	FAM129C	family with sequence similarity 129 member C
233130_at	0.791	0.0155518	-2.58491214	-3.4	-0.3040		
203217_s_at	0.791	0.0155899	2.58385143	-3.4	0.2310	ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5
200868_s_at	0.791	0.0155932	-2.58375712	-3.4	-0.2630	RNF114	ring finger protein 114
208638_at	0.791	0.0156022	-2.58350896	-3.4	-0.4540	PDIA6	protein disulfide isomerase family A member 6
201120_s_at	0.791	0.0156108	-2.58326938	-3.4	-0.2340	PGRMC1	progesterone receptor membrane component 1
223282_at	0.791	0.0156136	2.58319209	-3.4	0.4170	TSHZ1	teashirt zinc finger homeobox 1
227131_at	0.791	0.0156227	2.58293908	-3.4	0.2210	MAP3K3	mitogen-activated protein kinase kinase kinase 3
233955_x_at	0.791	0.0156557	2.58202274	-3.4	0.2710	CXXC5	CXXC finger protein 5
205402_x_at	0.791	0.0156843	-2.58123102	-3.4	-0.1380	PRSS2	protease, serine 2
208726_s_at	0.791	0.0157192	-2.58026799	-3.4	-0.3490	EIF2S2	eukaryotic translation initiation factor 2 subunit beta
207990_x_at	0.791	0.0157325	-2.57990112	-3.4	-0.1750	ACRV1	acrosomal vesicle protein 1
223591_at	0.791	0.0157607	2.57912391	-3.4	0.2360	RNF135	ring finger protein 135
1562034_at	0.791	0.0157706	-2.57884909	-3.4	-0.1570	LINC00163	long intergenic non-protein coding RNA 163
223682_s_at	0.791	0.0157779	-2.57865003	-3.4	-0.2680	EIF1AD	eukaryotic translation initiation factor 1A domain containing
203383_s_at	0.791	0.0157833	-2.57850084	-3.4	-0.2630	GOLGA1	golgin A1
203006_at	0.791	0.015794	2.57820772	-3.4	0.3410	INPP5A	inositol polyphosphate-5-phosphatase A
215598_at	0.791	0.0158127	2.57769252	-3.4	0.2690	TTC12	tetratricopeptide repeat domain 12
212008_at	0.791	0.0158157	-2.57761	-3.4	-0.5780	UBXN4	UBX domain protein 4
241846_at	0.791	0.0158262	-2.57732278	-3.4	-0.1460	HCG18	HLA complex group 18 (non-protein coding)
206686_at	0.791	0.0158388	-2.57697774	-3.41	-0.5410	PDK1	pyruvate dehydrogenase kinase 1
223014_at	0.791	0.0158728	2.57604647	-3.41	0.2080	UBE2R2	ubiquitin conjugating enzyme E2 R2
201727_s_at	0.791	0.0158873	-2.57565032	-3.41	-0.2900	ELAVL1	ELAV like RNA binding protein 1
1569276_at	0.791	0.0159545	-2.57381716	-3.41	-0.2580		
223299_at	0.791	0.0159587	-2.57370284	-3.41	-0.8590	SEC11C	SEC11 homolog C, signal peptidase complex subunit
236199_at	0.791	0.0159654	2.5735208	-3.41	0.2840		
209129_at	0.791	0.01602	-2.57203787	-3.41	-0.3770	TRIP6	thyroid hormone receptor interactor 6
202148_s_at	0.791	0.0160215	-2.57199564	-3.41	-0.2660	PYCR1	pyrroline-5-carboxylate reductase 1
226548_at	0.791	0.0160329	2.57168795	-3.41	0.1760	SBK1	SH3 domain binding kinase 1
1558525_at	0.791	0.0160679	-2.57073879	-3.41	-0.1660	LOC101928595	uncharacterized LOC101928595
202747_s_at	0.791	0.0160824	-2.57034715	-3.41	-0.6950	ITM2A	integral membrane protein 2A
240242_at	0.791	0.0161116	-2.56955954	-3.41	-0.1920		
212585_at	0.791	0.0161302	2.56905722	-3.41	0.3520	OSBPL8	oxysterol binding protein like 8
202135_s_at	0.791	0.0161386	2.56883184	-3.41	0.1830	ACTR1B	ARP1 actin-related protein 1 homolog B, centractin beta
227730_at	0.791	0.0161395	2.56880739	-3.41	0.2650	DYM	dymeclin
238523_at	0.791	0.0161475	2.5685912	-3.41	0.3070	KLHL36	kelch like family member 36
200650_s_at	0.791	0.0161578	-2.56831299	-3.41	-0.3530	LDHA	lactate dehydrogenase A
230978_at	0.791	0.0161619	2.56820383	-3.41	0.1650	LINC00967	long intergenic non-protein coding RNA 967
1566228_at	0.791	0.0161624	-2.56819016	-3.41	-0.2030		
235545_at	0.791	0.0161941	-2.56733926	-3.42	-0.1570	DEPDC1	DEP domain containing 1
227547_at	0.791	0.0162023	2.56711741	-3.42	0.3600		
216379_x_at	0.791	0.0162671	2.56538313	-3.42	0.3720	CD24	CD24 molecule
232884_s_at	0.791	0.0162791	2.56506059	-3.42	0.2610	ZNF853	zinc finger protein 853
214694_at	0.791	0.0163064	2.56433229	-3.42	0.2080	MPRIP	myosin phosphatase Rho interacting protein
231810_at	0.791	0.0163481	2.56322157	-3.42	0.2830	THRIL///BRI3BP	TNF and HNRNPL related immunoregulatory long non-coding RNA///BRI3 binding protein
207895_at	0.791	0.0163481	2.56322135	-3.42	0.2040	NAALADL1	N-acetylated alpha-linked acidic dipeptidase-like 1
226844_at	0.791	0.0163621	2.56284888	-3.42	0.4060	MOB3B	MOB kinase activator 3B
240106_at	0.791	0.0163891	2.56213208	-3.42	0.2730	GNPTAB	N-acetylglucosamine-1-phosphate transferase alpha and beta subunits
242657_at	0.791	0.0164008	-2.56181997	-3.42	-0.2260		
225343_at	0.791	0.0164135	2.56148251	-3.42	0.2310	TMED8	transmembrane p24 trafficking protein family member 8
223199_at	0.791	0.0164211	2.56128107	-3.42	0.4210	MKNK2	MAP kinase interacting serine/threonine kinase 2
1554667_s_at	0.791	0.0164283	2.56109163	-3.42	0.6910	METTL8	methyltransferase like 8
218242_s_at	0.791	0.016452	2.56046451	-3.42	0.2840	KMT5B	lysine methyltransferase 5B
227212_s_at	0.791	0.0164555	-2.56037067	-3.42	-0.9010	PHF19	PHD finger protein 19
210518_at	0.791	0.0164675	2.56005233	-3.42	0.1550	CDH8	cadherin 8
201829_at	0.791	0.0164965	-2.55928791	-3.42	-0.3760	NET1	neuroepithelial cell transforming 1
1568678_s_at	0.791	0.0165015	-2.55915536	-3.42	-0.2270	FGFR1OP	FGFR1 oncogene partner
237247_at	0.791	0.0165042	2.55908421	-3.42	0.3060	USP51	ubiquitin specific peptidase 51
200652_at	0.791	0.0165285	-2.55844276	-3.42	-0.2850	SSR2	signal sequence receptor subunit 2
1566949_at	0.791	0.0165343	2.55829051	-3.42	0.2280		
202924_s_at	0.791	0.0165371	-2.55821758	-3.42	-0.2610	PLAGL2	PLAG1 like zinc finger 2
230288_at	0.791	0.0165405	-2.55812832	-3.42	-0.1310	FGF14	fibroblast growth factor 14
242639_at	0.791	0.0165675	-2.55741588	-3.43	-0.1420	ICE2	interactor of little elongation complex ELL subunit 2
219910_at	0.791	0.0165923	-2.55676667	-3.43	-0.5920	FICD	FIC domain containing
214453_s_at	0.791	0.0165961	-2.55666595	-3.43	-1.7000	IFI44	interferon induced protein 44
228433_at	0.791	0.0166535	2.55516267	-3.43	0.2840	NFYA	nuclear transcription factor Y subunit alpha
238021_s_at	0.791	0.016662	-2.55493843	-3.43	-0.2140	CRNDE	colorectal neoplasia differentially expressed (non-protein coding)
208511_at	0.791	0.0166938	-2.5541092	-3.43	-0.3700	PTTG3P	pituitary tumor-transforming 3, pseudogene
236578_at	0.791	0.0167212	2.55339296	-3.43	0.2910		
207827_x_at	0.791	0.0168274	2.55063244	-3.43	0.2410	SNCA	synuclein alpha
237568_at	0.791	0.0168306	2.55055107	-3.43	0.2180		
212048_s_at	0.791	0.0168369	-2.55038745	-3.43	-0.3860	YARS	tyrosyl-tRNA synthetase
36084_at	0.791	0.0168699	-2.54953486	-3.43	-0.2110	CUL7	cullin 7
226347_at	0.791	0.0168766	2.54935978	-3.43	0.3470		
215439_x_at	0.791	0.0168826	-2.54920627	-3.43	-0.1440		
222231_s_at	0.791	0.0168831	-2.54919317	-3.43	-0.6100	LRRC59	leucine rich repeat containing 59
229484_at	0.791	0.0169364	2.54781641	-3.44	0.3150	PPM1J	protein phosphatase, Mg2+/Mn2+ dependent 1J
226725_at	0.791	0.0169468	-2.54755002	-3.44	-0.7910	SLFN5	schlafen family member 5
210357_s_at	0.791	0.0169579	-2.54726321	-3.44	-0.3470	SMOX	spermine oxidase
44654_at	0.791	0.0169863	-2.5465351	-3.44	-0.2910	G6PC3	glucose-6-phosphatase catalytic subunit 3
202699_s_at	0.791	0.0170219	2.54562131	-3.44	0.2790	TMEM63A	transmembrane protein 63A
